Epoch | Train Loss | Test Loss  | Accuracy | Error Rate | Precision | Recall | Specificity |  NPV   |  FPR   |  FNR   | F1 Score | Fbeta Score
   82 |  0.1557    |   0.0645   |  97.99%  |   0.0201   |  0.9947   | 0.8522 |   0.9993    | 0.9780 | 0.0007 | 0.1478 |  0.9179  | 0.9179
   83 |  0.1554    |   0.0667   |  98.11%  |   0.0189   |  0.9912   | 0.8624 |   0.9989    | 0.9798 | 0.0011 | 0.1376 |  0.9223  | 0.9223
   84 |  0.1555    |   0.0635   |  98.02%  |   0.0198   |  0.9938   | 0.8548 |   0.9992    | 0.9785 | 0.0008 | 0.1452 |  0.9191  | 0.9191
   85 |  0.1535    |   0.0624   |  98.21%  |   0.0179   |  0.9947   | 0.8670 |   0.9993    | 0.9805 | 0.0007 | 0.1330 |  0.9265  | 0.9265
   86 |  0.1515    |   0.0614   |  98.15%  |   0.0185   |  0.9920   | 0.8645 |   0.9990    | 0.9802 | 0.0010 | 0.1355 |  0.9239  | 0.9239
   87 |  0.1509    |   0.0639   |  97.99%  |   0.0201   |  0.9956   | 0.8516 |   0.9994    | 0.9779 | 0.0006 | 0.1484 |  0.9180  | 0.9180
   88 |  0.1518    |   0.0671   |  98.04%  |   0.0196   |  0.9938   | 0.8556 |   0.9992    | 0.9787 | 0.0008 | 0.1444 |  0.9195  | 0.9195
   89 |  0.1464    |   0.0663   |  98.09%  |   0.0191   |  0.9903   | 0.8624 |   0.9987    | 0.9797 | 0.0013 | 0.1376 |  0.9219  | 0.9219
   90 |  0.1513    |   0.0586   |  98.13%  |   0.0187   |  0.9947   | 0.8613 |   0.9993    | 0.9796 | 0.0007 | 0.1387 |  0.9232  | 0.9232
   91 |  0.1466    |   0.0605   |  98.17%  |   0.0183   |  0.9938   | 0.8648 |   0.9992    | 0.9802 | 0.0008 | 0.1352 |  0.9248  | 0.9248
   92 |  0.1451    |   0.0613   |  98.10%  |   0.0190   |  0.9938   | 0.8599 |   0.9992    | 0.9794 | 0.0008 | 0.1401 |  0.9220  | 0.9220
   93 |  0.1475    |   0.0599   |  98.36%  |   0.0164   |  0.9921   | 0.8791 |   0.9990    | 0.9825 | 0.0010 | 0.1209 |  0.9322  | 0.9322
   94 |  0.1417    |   0.0546   |  98.26%  |   0.0174   |  0.9956   | 0.8695 |   0.9994    | 0.9809 | 0.0006 | 0.1305 |  0.9283  | 0.9283
   95 |  0.1460    |   0.0639   |  98.09%  |   0.0191   |  0.9929   | 0.8599 |   0.9991    | 0.9794 | 0.0009 | 0.1401 |  0.9216  | 0.9216
   96 |  0.1460    |   0.0604   |  98.17%  |   0.0183   |  0.9929   | 0.8655 |   0.9991    | 0.9803 | 0.0009 | 0.1345 |  0.9248  | 0.9248
   97 |  0.1424    |   0.0548   |  98.36%  |   0.0164   |  0.9964   | 0.8752 |   0.9995    | 0.9820 | 0.0005 | 0.1248 |  0.9319  | 0.9319
   98 |  0.1381    |   0.0610   |  98.22%  |   0.0178   |  0.9903   | 0.8709 |   0.9987    | 0.9812 | 0.0013 | 0.1291 |  0.9268  | 0.9268
   99 |  0.1374    |   0.0549   |  98.35%  |   0.0165   |  0.9938   | 0.8770 |   0.9992    | 0.9822 | 0.0008 | 0.1230 |  0.9318  | 0.9318
  100 |  0.1379    |   0.0610   |  98.15%  |   0.0185   |  0.9877   | 0.8679 |   0.9984    | 0.9807 | 0.0016 | 0.1321 |  0.9239  | 0.9239
